date,open,high,low,close,volume,dividends,stock_splits,daily_return_pct,high_low_pct,open_close_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,atr_14,volume_sma_20,volume_ratio,week_52_high,week_52_low,distance_52w_high_pct,distance_52w_low_pct,symbol,exchange,company_name,sector,industry,pe_ratio,pb_ratio,market_cap,enterprise_value,roe,profit_margin,operating_margin,revenue_growth,earnings_growth,dividend_yield,eps,debt_to_equity,current_ratio,free_cashflow,nifty_50,nifty_next_50,nifty_100,nifty_200,nifty_500,nifty_total_market,nifty_500_multicap_50_25_25,nifty_500_largemidsmall_equal_cap,nifty_midcap_150,nifty_midcap_50,nifty_midcap_select,nifty_midcap_100,nifty_smallcap_500,nifty_smallcap_250,nifty_smallcap_50,nifty_smallcap_100,nifty_microcap_250,nifty_largemidcap_250,nifty_midsmallcap_400,nifty_midsmallcap_400_50_50,nifty_india_fpi_150,india_vix,nifty_auto,nifty_bank,nifty_chemicals,nifty_financial_services,nifty_financial_services_25_50,nifty_financial_services_ex_bank,nifty_fmcg,nifty_healthcare,nifty_it,nifty_media,nifty_metal,nifty_pharma,nifty_private_bank,nifty_psu_bank,nifty_realty,nifty_consumer_durables,nifty_oil_gas,nifty_energy,nifty_500_healthcare,nifty_midsmall_financial_services,nifty_midsmall_healthcare,nifty_midsmall_it_telecom,nifty_capital_markets,nifty_commodities,nifty_conglomerate_50,nifty_core_housing,nifty_cpse,nifty_ev_new_age_auto,nifty_housing,nifty_india_consumption,nifty_india_defence,nifty_india_digital,nifty_india_infra_logistics,nifty_india_internet,nifty_india_manufacturing,nifty_india_new_age_consumption,nifty_india_railways_psu,nifty_india_tourism,nifty_infrastructure,nifty_ipo,nifty_midcap_liquid_15,nifty_midsmall_india_consumption,nifty_mnc,nifty_mobility,nifty_pse,nifty_reits_invits,nifty_rural,nifty_non_cyclical_consumer,nifty_services_sector,nifty_shariah_25,nifty100_liquid_15,nifty50_shariah,nifty500_shariah,nifty_multicap_mfg_infra,nifty_sme_emerge,nifty_transport_logistics,nifty_waves,nifty100_esg,nifty100_enhanced_esg,nifty_esg_sector_leaders
2020-01-14 18:30:00+00:00,15.688379539251876,15.688379539251876,15.397852897644045,15.397852897644045,215,0.0,0.0,-1.8518572552812862,1.8867996956399273,-1.851858828892699,15.97890396118164,15.756910198946006,15.80458860397339,15.700562557542622,,15.462180368056313,,15.14813232360856,,14.997534314001962,,14.911257539957376,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-7.826084210257177,3.921567365404272,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-15 18:30:00+00:00,15.107327461242676,15.107327461242676,15.107327461242676,15.107327461242676,1327,0.0,0.0,-1.8867918685326668,0.0,0.0,15.68837833404541,15.540382619711563,15.833641147613525,15.592701630942631,,15.428384853121681,,15.146532132927545,,14.9997084357295,,14.913208484447777,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-9.565214158286189,1.96078368270213,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-16 18:30:00+00:00,14.816802024841309,14.816802024841309,14.816802024841309,14.816802024841309,518,0.0,0.0,-1.923076316090322,0.0,0.0,15.397853088378906,15.299189088088145,15.775536060333252,15.451628975287845,,15.37013886947593,,15.133601540453576,,14.996086526603001,,14.912249216192988,,,,,,,,0.0,,,16.70521726859035,14.816802024841309,-11.304344106315192,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-19 18:30:00+00:00,14.8168023049199,14.8168023049199,14.52627658843994,14.52627658843994,157,0.0,0.0,-1.9607836827021385,2.000001271565776,-1.960785535914802,15.107327651977538,15.041551588205412,15.659325790405273,15.283383086770044,,15.289771033186788,,15.109784875668726,,14.986783359510664,,14.908408692533754,34.78953105008631,,,,,,,0.3147359708977197,,,16.70521726859035,14.52627658843994,-13.043474054344204,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-20 18:30:00+00:00,14.28417197863261,14.8168023049199,14.235750871959985,14.52627658843994,2745,0.0,0.0,0.0,4.0816353010532564,1.6949152542372674,14.874907112121582,14.869793254950256,15.51406307220459,15.145727359800933,,15.217057276544232,,15.086902197738185,,14.977664413548867,,14.904606383040285,34.78953105008631,,,,,,,0.3337585039021623,,,16.70521726859035,14.235750871959985,-13.043474054344204,2.040817650526609,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-21 18:30:00+00:00,14.52627670797896,14.8168024268497,14.23575098910822,14.71996021270752,255,0.0,0.0,1.3333328956555368,4.081635301053256,1.3333320617675788,14.739328575134277,14.819848907536011,15.359116268157958,15.068315151238494,,15.169714699035973,,15.072512315972277,,14.97256136006686,,14.902769107713592,40.11783913331654,,,,,,,0.3514222848906849,,,16.70521726859035,14.235750871959985,-11.884054088991524,3.401361439256971,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-22 18:30:00+00:00,14.962064128526194,14.962064128526194,14.429433822631836,14.429433822631836,1754,0.0,0.0,-1.9736900499559562,3.6912765423890326,-3.559871828639352,14.603749847412109,14.689710545901287,15.14606409072876,14.952154909673645,,15.099211758426055,,15.047293551527554,,14.961806359325573,,14.898059303881933,35.44002090505984,,,,,,,0.3643657149623758,,,16.70521726859035,14.235750871959985,-13.62318974586167,1.3605390570113638,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-23 18:30:00+00:00,14.187329292297363,14.187329292297363,14.187329292297363,14.187329292297363,1174,0.0,0.0,-1.6778519054208796,0.0,0.0,14.47785530090332,14.522250128033313,14.937854194641114,14.813095706514321,,15.01236580927094,,15.013569462930292,,14.946470179780459,,14.890987363468156,32.08279883673542,,,,,,,0.3556327732032399,,,16.70521726859035,14.187329292297363,-15.072464702552505,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-26 18:30:00+00:00,13.94522476196289,14.042066972575372,13.94522476196289,13.94522476196289,1280,0.0,0.0,-1.7064841827976518,0.6944471119363275,0.0,14.36164493560791,14.329908339343174,14.734486293792724,14.655300989323152,,14.910733328574937,,14.971673592304121,,14.926643537843477,,14.881576790318851,29.112809427168045,,,,,,,0.34752361299832796,,,16.70521726859035,13.94522476196289,-16.52173965924334,0.0,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-01-27 18:30:00+00:00,13.703120088825704,14.187329292297363,13.703120088825704,14.187329292297363,181,0.0,0.0,1.736110636200272,3.5335689998550803,3.5335689998550803,14.293855476379395,14.282381990327904,14.584381294250488,14.570215226227553,15.165432405471801,14.84183770607231,,14.940914992303856,,14.912003651793059,,14.874668855015155,35.53914496689546,,,,15.165432405471801,16.694368557310828,13.636496253632773,0.3572868694607087,1321.4,0.13697593461480248,16.70521726859035,13.703120088825704,-15.072464702552505,3.5335689998550803,21STCENMGM,NSE,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,,0.8242268,391229984,394410272,-0.28151,0.0,1.09396,,,,-19.14,,7.873,186043120,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
